bblid,envSES,envHouseholds,neighborhoodCrime
80010,0.696990936,-0.585186256,
80027,-0.487775426,-0.263621539,-0.917077667
80036,-1.316219842,-0.115376914,-0.828369185
80043,-1.166565308,-0.237920046,1.20711238
80051,-1.045727214,0.137681939,-0.837998555
80071,-2.012209916,2.357384625,
80092,-1.109515718,-0.435433672,1.543653095
80108,-0.864026853,-1.386360158,0.49936889
80117,-1.327817953,-0.176703697,0.302938151
80125,-1.034798347,5.149724112,0.036078472
80134,-0.524373543,-0.267098904,-0.64381796
80137,0.644321346,0.505868137,
80149,-1.264952974,-0.01135329,
80152,-1.713508827,-0.603152639,0.861445447
80161,-1.976106216,1.253191707,0.838990312
80178,-1.623891483,2.634883902,
80179,0.611557004,-0.498476698,
80185,-1.427765996,-2.19862169,0.479264994
80196,0.726640017,0.516827286,
80199,-0.898204827,-1.313943221,-0.296148673
80208,-1.976106216,1.253191707,0.838990312
80214,-1.633183395,-0.886602442,-0.566934841
80217,0.572377996,-0.156871432,
80225,-0.886662247,-2.090331172,-1.10215238
80238,-1.759244346,0.362555053,
80249,0.044549672,-0.878662232,
80255,0.237570603,-0.823918267,
80263,-0.412003086,-0.424072295,
80265,0.231476319,-1.641288323,-0.731445693
80268,-0.955138299,0.102697144,-0.513645646
80271,1.177035931,-0.822040988,
80287,-1.063303114,1.357033268,-0.4146861
80289,-1.529737448,1.044707568,-0.125902714
80296,0.647535188,-1.240998867,
80302,-1.513822341,0.46522665,0.462114343
80305,-2.465485766,2.058963488,3.137279152
80321,-1.00353279,2.595154567,0.215809312
80342,-1.426477758,-1.159622808,
80345,-1.422589675,2.482805775,-0.260195028
80348,-1.915409886,1.008218442,
80351,-1.197179066,-0.501110912,0.112319786
80360,-1.221044669,1.655569505,
80370,0.463986112,-1.332998564,
80373,-1.529737448,1.044707568,0.417768893
80376,-1.238542114,-0.193604682,1.096133078
80379,-1.50487336,1.178947395,0.119600895
80391,-0.498118405,-1.370814307,-0.713163396
80394,-1.934086962,-1.489360618,-0.17645813
80396,0.60332096,-0.366951722,
80402,0.499092641,-1.068051566,
80405,0.254655962,-1.886380839,
80417,0.920243913,0.34453472,
80425,-1.183099667,-0.224029419,0.322705046
80429,-0.928552941,0.18977752,-0.330394178
80434,0.276725588,-0.269465969,
80441,1.327503274,1.619618651,
80444,-1.655836073,0.043864964,-0.295835842
80450,-0.397969636,-0.558355662,
80452,-1.732757614,1.026035455,-0.024545811
80458,0.801442455,0.265904312,
80466,0.549443279,0.553052497,
80468,0.996639665,-0.466728473,
80484,0.546862007,-0.263181761,
80487,0.785455706,-0.461005843,
80492,1.064627,1.040122076,
80498,-0.868849265,-0.070726097,-0.977690789
80500,-1.429844754,1.0315594,0.209911747
80505,-0.882993407,0.626907915,-0.420707843
80514,0.110689148,-2.021316075,-0.890973957
80517,-0.141536347,0.630372323,
80520,0.146168847,0.352376671,
80531,-1.335114453,-1.450655873,1.169369521
80537,0.110689148,-2.021316075,-1.067460168
80548,0.912763374,0.32148518,
80554,0.554635691,-0.25031866,
80557,-1.170772977,0.829181407,
80566,0.926356853,-0.678363086,
80572,1.297085851,0.431708689,
80575,1.162129129,0.808734596,
80578,-1.00353279,2.595154567,0.15870471
80586,0.285735249,0.375426149,
80589,-1.979809769,0.267174832,
80603,0.215856932,-1.894604098,
80606,0.547496453,-0.927757801,
80607,-1.330301405,-0.907852202,
80612,-0.100522921,0.598299264,
80621,-0.713244741,-0.337586436,
80624,0.631018694,0.218830216,
80632,1.121669155,-0.003713292,
80652,-0.524373543,-0.267098904,-0.64381796
80655,0.02247889,-1.665203102,-0.894505334
80657,-0.742311558,0.444048157,
80660,-1.358856319,0.722032886,
80673,1.098811162,-0.237699242,
80676,0.646572745,-0.690312178,
80680,-0.688665056,-0.835745508,
80683,0.352584209,0.277631511,
80686,0.031221035,0.481660136,
80688,0.102902154,-1.204894487,
80690,-1.057999693,-0.815522487,-0.111587568
80693,-1.437312906,-1.005219498,0.040691958
80698,1.178159344,-0.020784885,
80701,-1.895171083,0.883203385,-0.317730633
80703,0.103043633,-1.236248448,
80706,-0.543880045,-0.88050629,0.013230906
80713,-1.135661415,-2.252506103,-0.22104962
80715,0.999960084,0.931167955,
80718,-0.498468702,-1.692709472,
80724,0.91579979,-0.527956043,
80743,0.595326715,-0.676650636,
80746,-0.688677154,-0.115517695,-0.815168327
80759,-0.360606761,0.047225269,-0.386143695
80765,1.262755196,0.914158307,
80768,0.261441843,0.057202433,
80770,0.57196133,0.925336301,
80772,0.398437733,0.390109713,
80775,0.500159274,-0.231396076,
80785,-0.995299572,2.451733168,-0.761967632
80787,0.69890448,-1.377192082,
80796,0.443129447,0.659057622,
80799,0.522438808,0.510350869,
80801,-0.211001104,-1.876263129,
80812,-1.060524282,-0.490736004,0.443366662
80814,-1.480275373,-0.432750355,-0.667851733
80817,1.210945211,1.081482323,
80820,0.665178443,0.401024066,
80832,-2.358178882,1.890967422,5.47558431
80837,-1.715505279,1.416807743,2.842529892
80842,1.157421601,-0.604272004,
80854,0.95605732,1.87260842,
80857,-2.117884648,-1.784903943,-0.779218616
80866,0.43326006,-0.610349536,
80877,0.16985153,-0.130718838,
80886,0.693503267,-0.816910703,
80889,1.17941446,-0.459720063,
80892,0.561856705,-0.006425684,
80895,-0.243645442,0.370445254,
80898,0.833738617,0.03824555,
80904,1.229093776,1.442325968,
80907,-0.716845395,-1.117313681,-0.623043977
80910,1.016017274,0.978170448,
80925,0.448006776,-0.541711226,
80938,0.706344354,-0.866227265,
80941,0.723942458,-0.250676025,
80955,0.152141419,-0.343032037,
80961,0.287875044,-0.154279725,-0.85217973
80964,0.16134729,-1.412894603,3.869404577
80970,1.139179143,1.37130702,
80973,1.062230996,1.134117323,
80976,0.916114945,-0.115305215,
80985,0.817298294,0.55578623,
80988,0.913398012,0.275023184,
80993,1.245748653,0.220773329,
80996,1.139179143,1.37130702,
81002,-0.672803,3.38149821,
